No.,Pokemon,Type 1,Type 2 ,HP,ATK,DEF,SPA,SPD,SPE,BST,ABILITY 1,ABILITY 2,HIDDEN ABILITY,can mega,Pokemon
1,Bulbasaur,Grass,Poison,45,49,49,65,65,45,318,Overgrow,na,Chlorophyll,na,Bulbasaur
2,Ivysaur,Grass,Poison,60,62,63,80,80,60,405,Overgrow,na,Chlorophyll,na,Ivysaur
3,Venusaur,Grass,Poison,80,82,83,100,100,80,525,Overgrow,na,Chlorophyll,TRUE,Venusaur
3,Venusaur-Gmax,Grass,Poison,80,82,83,100,100,80,525,Overgrow,na,Chlorophyll,na,Venusaur_gmax
3.1,Mega venusaur,Grass,Poison,80,100,123,122,120,80,625,Thick Fat,na,na,na,Venusaur_1
4,Charmander,Fire,na,39,52,43,60,50,65,309,Blaze,na,Solar Power,na,Charmander
5,Charmeleon,Fire,na,58,64,58,80,65,80,405,Blaze,na,Solar Power,na,Charmeleon
6,Charizard,Fire,Flying,78,84,78,109,85,100,534,Blaze,na,Solar Power,TRUE,Charizard
6,Charizard-Gmax,Fire,Flying,78,84,78,109,85,100,534,Blaze,na,Solar Power,na,Charizard_gmax
6.1,Mega Charizard X,Fire,Dragon,78,130,111,130,85,100,634,Tough Claws,na,na,na,Charizard_1
6.2,Mega Charizard Y,Fire,Flying,78,104,78,159,115,100,634,Drought,na,na,na,Charizard_2
7,Squirtle,Water,na,44,48,65,50,64,43,314,Torrent,na,Rain Dish,na,Squirtle
8,Wartortle,Water,na,59,63,80,65,80,58,405,Torrent,na,Rain Dish,na,Wartortle
9,Blastoise,Water,na,79,83,100,85,105,78,530,Torrent,na,Rain Dish,TRUE,Blastoise
9,Blastoise-Gmax,Water,na,79,83,100,85,105,78,530,Torrent,na,Rain Dish,na,Blastoise_gmax
9.1,Mega Blastoise,Water,na,79,103,120,135,115,78,630,Mega Launcher,na,na,na,Blastoise_1
10,Caterpie,Bug,na,45,30,35,20,20,45,195,Shield Dust,na,Run Away,na,Caterpie
11,Metapod,Bug,na,50,20,55,25,25,30,205,Shed Skin,na,na,na,Metapod
12,Butterfree,Bug,Flying,60,45,50,90,80,70,395,Compound Eyes,na,Tinted Lens,na,Butterfree
12,Butterfree-Gmax,Bug,Flying,60,45,50,90,80,70,395,Compound Eyes,na,Tinted Lens,na,Butterfree-Gmax
13,Weedle,Bug,Poison,40,35,30,20,20,50,195,Shield Dust,na,Run Away,na,Weedle
14,Kakuna,Bug,Poison,45,25,50,25,25,35,205,Shed Skin,na,na,na,Kakuna
15,Beedrill,Bug,Poison,65,90,40,45,80,75,395,Swarm,na,Sniper,TRUE,Beedrill
15.1,Mega Beedrill,Bug,Poison,65,150,40,15,80,145,495,Adaptability,na,na,na,Beedrill_1
16,Pidgey,Normal,Flying,40,45,40,35,35,56,251,Keen Eye,Tangled Feet,Big Pecks,na,Pidgey
17,Pidgeotto,Normal,Flying,63,60,55,50,50,71,349,Keen Eye,Tangled Feet,Big Pecks,na,Pidgeotto
18,Pidgeot,Normal,Flying,83,80,75,70,70,101,479,Keen Eye,Tangled Feet,Big Pecks,TRUE,Pidgeot
18.1,Mega Pidgeot,Normal,Flying,83,80,80,135,80,121,579,No Gaurd,na,na,na,Pidgeot_1
19,Rattata,Normal,na,30,56,35,25,35,72,253,Run Away,Guts,Hustle,na,Rattata
19,Rattata-Alola,Dark,Normal,30,56,35,25,35,72,253,Gluttony,Hustle,Thick Fat,na,Rattata-Alola
20,Raticate,Normal,na,55,81,60,50,70,97,413,Run Away,Guts,Hustle,na,Raticate
20,Raticate-Alola,Dark,Normal,75,71,70,40,80,77,413,Gluttony,Hustle,Thick Fat,na,Raticate-Alola
21,Spearow,Normal,Flying,40,60,30,31,31,70,262,Keen Eye,na,Sniper,na,Spearow
22,Fearow,Normal,Flying,65,90,65,61,61,100,442,Keen Eye,na,Sniper,na,Fearow
23,Ekans,Poison,na,35,60,44,40,54,55,288,Intimidate,Shed Skin,Unnerve,na,Ekans
24,Arbok,Poison,na,60,95,69,65,79,80,448,Intimidate,Shed Skin,Unnerve,na,Arbok
25,Pikachu,Electric,na,35,55,40,50,50,90,320,Static,na,Lightning Rod,na,Pikachu
25,Pikachu-Gmax,Electric,na,35,55,40,50,50,90,320,Static,na,Lightning Rod,na,Pikachu-Gmax
26,Raichu,Electric,na,60,90,55,90,80,110,485,Static,na,Lightning Rod,na,Raichu
26,Raichu-Alola,Electric,Psychic,60,85,50,95,85,110,485,Surge Surfer,na,na,na,Raichu-Alola
